"id","name_ar","name_en","name_fr","latitude","longitude","type","operator"
"39cd0261fe4645c3843e64a911ab065e","أزمور توقف","","AZEMMOUR HALTE","","","train","oncf"
"0ad53e73744d4bfa8eb54fb81fb59930","أصيلة","","ASILAH","","","train","oncf"
"c28e23cf90e546cf80a73f7d832c5f0e","اثنين سيدي اليماني","","TNINE SIDI LYAMAN","","","train","oncf"
"da0cb9fb4493479cae328d6df71d7fda","اسفي","","SAFI","","","train","oncf"
"5d4f6112f1b946679818f62969942bfb","الجديدة","","EL JADIDA","","","train","oncf"
"2a39f0c1d7cb40ea94a1290eef976f1d","الخميسات","","EL KHEMISSET","","","train","oncf"
"a4d7b1576b004bcfbc13238578860a3b","الدار البيضاء المسافرون","","CASA VOYAGEURS","","","train","oncf"
"5f31e21c989544e6af1744b751a49f0f","الدار البيضاء الميناء","","CASA PORT","","","train","oncf"
"6a873c80090541fb887c48c333a86106","الدار البيضاء الوازيس","","CASA OASIS","","","train","oncf"
"9aa5025482c34781a1348539ebb28ac8","الدالية","","DALIA","","","train","oncf"
"5f4ad738366c4f7b9e81bce96aa4de31","الرباط أكدال","","RABAT AGDAL","","","train","oncf"
"dd0aad1154ea4fd7aee730b89ede0681","الرباط المدينة","","RABAT VILLE","","","train","oncf"
"2adfff1aad8646eab7c82e408654e686","الشبابات","","CHEBABAT","","","train","oncf"
"166aa7c15578404cb98596da3470050f","الصخيرات","","SKHIRAT","","","train","oncf"
"ebee8cb849db4fed875028b715cbdb01","الطوابعة","","TOUABAA","","","train","oncf"
"fc7277cda42d4737b52e1cc1e07d613e","العارية","","EL ARIA","","","train","oncf"
"c4ea017b53cb4a328297209a3853654d","العقبة الحمراء","","AL AKBA LHAMRA","","","train","oncf"
"01479a6288154b328ddd18bfb5bc78f5","العكرب","","EL AGREB","","","train","oncf"
"3867550aef534054b30f5097b3c80e3f","العيون","","EL AIOUN","","","train","oncf"
"4a8bba58f40f4cb69ae9c43f6484bfc5","القصر الكبير","","EL KSAR EL KEBIR","","","train","oncf"
"88543045911e4efb90f4477df7dda46d","القنيطرة","","KENITRA","","","train","oncf"
"9892fcffdd074b5c8cc074d8cc059d86","الكفاف","","EL GOUFAF","","","train","oncf"
"1e0946d433834ee3aa2c59e6732fa542","الكليات","","FACULTES","","","train","oncf"
"4160df21db6f4b3e8163031799018156","المحمدية","","MOHAMMEDIA","","","train","oncf"
"1cfbd0c218e2485a88bfacbdf13ffffa","الناظور الجنوبية","","NADOR SUD","","","train","oncf"
"157f665704694ac99dda9a88c5416703","الناظور المدينة","","NADOR VILLE","","","train","oncf"
"810b112a88e94fbdba59550b3e391f4b","النسيم","","ENNASSIM","","","train","oncf"
"a563a068ac704df78e57b90b734021f8","النعيمة","","NAIMA","","","train","oncf"
"155450fa10294b93a5a9d60549191395","النواصر","","ENNOUASSER","","","train","oncf"
"45cd46ccee4942f2998d430133a5ca1d","اليوسفية","","YOUSSOUFIA","","","train","oncf"
"28ec0b23a863489caac8062f3bc49c9b","امسون","","MSOUN","","","train","oncf"
"21c2720cb20e41c79a4630cfd42de931","اولاد رحو","","OUELED RAHOU","","","train","oncf"
"cc299f8f70c74aba8ab3b1ff3976967b","برشيد","","BERRECHID","","","train","oncf"
"d7790a2a23534b578ae8320cfd5af5d1","بنكرير","","BENGUERIR","","","train","oncf"
"8846d33930314c8eaf126480b21b46aa","بني انصار المدينة","","BENI NSAR VILLE","","","train","oncf"
"6c4c9bd2020f4e509a335d71ddb58b41","بني انصار الميناء","","BENI NSAR PORT","","","train","oncf"
"1952d3aa5b00495bad85d9214d003d99","بني وكيل","","BENI-OUKIL","","","train","oncf"
"52e65f8bd5944462a4ee0c850b45943a","بوزنيقة","","BOUZNIKA","","","train","oncf"
"c1801218e7794e4ea561fb48190db068","بوسكورة","","BOUSKOURA","","","train","oncf"
"df748674d70d4617a5ae04a813f0bd19","بيدان","","BIDANE","","","train","oncf"
"6223df1c21394e488aef0db4bda1bb0b","تازة","","TAZA","","","train","oncf"
"c389f185036e4298abae2e101258a738","تاوريرت","","TAOURIRT","","","train","oncf"
"4458ce8dfd424ac6842f90485938d7b2","تمارة","","TEMARA","","","train","oncf"
"e040ab4b3688445187f92cdf214bf400","تمضروست","","TAMDROST","","","train","oncf"
"3d7e29c6e4604cf88a5a3b6850542b15","ثلاثاء الريسانة","","TLETA RISSANA","","","train","oncf"
"7ea800b31c7643baaf8bc36f0d73ba23","حاسي بركان","","HASSI BERKANE","","","train","oncf"
"2a75a3ddc87a498ea2460d945cf5f511","خريبكة","","KHOURIBGA","","","train","oncf"
"5cf9f99d428847d6b86083e6e8258299","خط أزكان","","KHATT AZACANE","","","train","oncf"
"42c62af2e6d442bfb5426f1d0eac5612","دار الكداري","","DAR EL GUEDARI","","","train","oncf"
"47f9fb00095149f586c5fe39b0f9ae99","راس العين","","RAS EL AIN","","","train","oncf"
"f3e5fb34070c455ca680de0789c1dc9a","س . سليمان المدينة","","SIDI SLIMANE MEDINA","","","train","oncf"
"25f9f9f0af764e34bae5206f0f73b1d9","سبع عيون","","SEBAA-AIOUN","","","train","oncf"
"d342c86e6f1446eeb422dc7b283f9d46","سطات","","SETTAT","","","train","oncf"
"4ab33ce67d7444cba1841f36228b5f6a","سلا","","SALE","","","train","oncf"
"a7a0ba5fb1a14f83be6af7fdd10c1775","سلا تابريكت","","SALE TABRIQUET","","","train","oncf"
"8306e5691ef945568ee94cffa1726307","سلوان","","SELOUANE","","","train","oncf"
"222407010eb6465d91c4b7dba6dd644d","سوق الاربعاء","","SOUK EL ARBAA","","","train","oncf"
"ef9d55d8044c43e8bb6dac8c33c7b45f","سيدي","","SIDI HARAZEM","","","train","oncf"
"4c063ccebcc946f59f0817538849dfd3","سيدي العايدي","","SIDI EL AIDI","","","train","oncf"
"0c07c41789d041e6a4ea9731aae47a20","سيدي الغزواني","","SIDI RHAZOUANI","","","train","oncf"
"02a81ee911064b17bf2a4ffc5706d4dc","سيدي بوعثمان","","SIDI BOU OTHMANE","","","train","oncf"
"d7c54ded3c024f2b84e2a96e1b2ee71a","سيدي حجاج","","SIDI HAJJAJ","","","train","oncf"
"a38813efa31b4f61b587e5bc57417ac2","سيدي قاسم","","SIDI KACEM","","","train","oncf"
"9a5031e0ffcf4fddac9c5068697ecb6a","سيدي يحيى","","SIDI YAHIA","","","train","oncf"
"91f0d396b6e846aca12879fdefc799ed","طنجة المدينة","","TANGER VILLE","","","train","oncf"
"233fd6a83b8a4934999a3cad89f7b243","عين السبع","","AIN SEBAA","","","train","oncf"
"c4f0dc435509476db52c068de4307e7c","عين تاوجدات","","AIN-TAOUJDATE","","","train","oncf"
"f5243c3227c14472b4f5f6d560b79db3","عين سبيت","","AIN SBIT","","","train","oncf"
"459b8b9862d94d24bf5339369c118c09","فاس","","FES","","","train","oncf"
"384a24633e964ac594bb059c297f3029","كرسيف","","GUERCIF","","","train","oncf"
"401d3753ee454501b02bdc80450e2bc0","مراكش","","MARRAKECH","","","train","oncf"
"49d42dc0130b43b6a378605f000cd00e","مرس السلطان","","MERS SULTAN","","","train","oncf"
"0af98a79bf234f5bbefaad83d3c89240","مريزيك","","MRIZIG","","","train","oncf"
"a6bbaba9883a4ed5bd93c326a9e123d5","مشرع بلقصيري","","MECHRA BEL KSIRI","","","train","oncf"
"1ce2a36706f949a2a5c20a2cd536a2c9","مشرع بن عبو","","MECHRA BEN ABBOU","","","train","oncf"
"f5e79839060e4de487826a4c5fb5f09d","مطار محمد الخامس","","AEROPORT MED V","","","train","oncf"
"2aaab1c3f673470e82bc50c9c3f5f0be","مطماطة","","MATMATA","","","train","oncf"
"b9fe7aeb8d32471590d17b492bc61877","مكناس","","MEKNES","","","train","oncf"
"ddc6c3d44dc8453783564a1d4bcc7c07","مكناس الامير","","MEKNES AL AMIR","","","train","oncf"
"d4f19bbb9f91411daba3b5dcf452287e","ملك الويدان","","MELG EL OUIDANE","","","train","oncf"
"2437ee84cfe842118de3e2f64fe539e4","موالين الواد","","MOUALINE EL OUED","","","train","oncf"
"b4cbe18d1b99454bbf851db4231e9727","واد امليل","","OUED AMLIL","","","train","oncf"
"d3297a10ba5a4ad4a8e85b11b35dcc2c","واد متليلي","","OUED METLILI","","","train","oncf"
"b22b7e194a464a7483ce6cc2dad28277","وادزم","","OUED ZEM","","","train","oncf"
"f09ed868c4304a63ae0fbc637561c586","وجدة","","OUJDA","","","train","oncf"
"7b97d0bdb11143a8943aa10ef8b2c07a","آزرو سوبراتور","","AZROU","","","bus","supratours"
"586f706431c749d8aaf5d335281d3248","آسفي سوبراتور","","SAFI","","","bus","supratours"
"2fb6844235154c3ea4617b37e400e29b","أرفود سوبراتور","","ERFOUD","","","bus","supratours"
"12818b7a7aa847b7b9312bf47d2e0059","أسا سوبراتور","","ASSA","","","bus","supratours"
"b069d7e7dc5249b787d52ad29fb85568","أكادير سوبراتور","","AGADIR","","","bus","supratours"
"b0d2b741600e42c9af9e5f0c30076bec","أكدز سوبراتور","","AGDZ","","","bus","supratours"
"b1a47c8ef43f4a52964dca074845c5e1","أوفوس سوبراتور","","EOUFOUSS","","","bus","supratours"
"76efcb209ed24d2cbcdc70f67c936545","أولاد تايمة","","OULAD TEIMA","","","bus","supratours"
"9cb4aee5123f4542886b90cf2dcb7758","الحاجب سوبراتور","","EL HAJEB","","","bus","supratours"
"5d71e38ff9ca45d3b00aca199b01ee50","الداخلة سوبراتور","","ADDAKHLA","","","bus","supratours"
"8658d2a4c9c44db28b1ab4bd10f40bc0","الراشدية سوبراتور","","ERRACHIDIA","","","bus","supratours"
"5e5b957fc3a54fc28932251c7553b9d3","الريساني سوبراتور","","RISSANI","","","bus","supratours"
"f6118266441a4ab6a241f9a4cae56a21","الريش سوبراتور","","ERRICH","","","bus","supratours"
"3408d054d25644e2a315eb93ba2f19c2","الزاك سوبراتور","","ZAG","","","bus","supratours"
"d594d5dffeed451fa9b978662b59acd5","السمارة سوبراتور","","SMARA","","","bus","supratours"
"53b9d0329c5c4b6bb86d3fb493159da8","الصويرة سوبراتور","","ESSAOUIRA","","","bus","supratours"
"03f804e5a92c4ba2a1ff863fe3658c0e","العرائش  سوبراتور","","LARACHE","","","bus","supratours"
"9b0af5c1a4c64e8890c05a001fb8b94d","العركوب سوبراتور","","EL ARGOUB","","","bus","supratours"
"acb67a918f324dcaad2b0c75cff905e3","العيون الميناء سوبراتور","","LAAYOUNE PORT","","","bus","supratours"
"58ffe579c6914d8bb226649b8add8c16","العيون سوبراتور","","LAAYOUNE","","","bus","supratours"
"90733d51d2c641e98aaf6199755ed60a","الفقيه بنصالح سوبراتور","","FQUIH BEN SALAH","","","bus","supratours"
"7f690afe81d34bf1a48c9af27d9579ec","الفنيدق سوبراتور","","FNIDEQ","","","bus","supratours"
"bae1785215434dd389850d0565a7d0e0","المضيق سوبراتور","","MDIQ","","","bus","supratours"
"f1a2517af8b64897a34e5ea288e653ad","انزكان سوبراتور","","INEZGANE","","","bus","supratours"
"40793a2d134a4107ab4a2737279bafae","ايغرم","","IGHREM","","","bus","supratours"
"89701e4f6b554ceaa05a9287db0c0022","بني ملال سوبراتور","","BENI-MELLAL","","","bus","supratours"
"dc3b30ddb1d24e54a6b0a5de6d5a0807","بوجدور سوبراتور","","BOUJDOUR","","","bus","supratours"
"5cde92f689f946ffb46337cc09d56f4f","بومالن سوبراتور","","BOUMALNE","","","bus","supratours"
"d911a77a671b4dcc95111a42e8b93c10","بويزكارن سوبراتور","","BOUIZAKARNE","","","bus","supratours"
"4b4c98ec71f64f99ac0e6198da287d80","تارودانت","","TAROUDANT","","","bus","supratours"
"b0fa310b4b7749f6ac28738fbe4ca6c2","تزنيت سوبراتور","","TIZNIT","","","bus","supratours"
"8f347480e5ae4b95a94df9dfb1ea6280","تشيكا سوبراتور","","TCHIKA","","","bus","supratours"
"d9883ef9ac4844cea9b148c77598e3ec","تطوان سوبراتور","","TETOUAN","","","bus","supratours"
"92dd048589574a268362aad2d6380b6c","تملالت سوبراتور","","TAMELALT","","","bus","supratours"
"1ac29311735648bfa406e02ae9049077","تمنار سوبراتور","","TAMANAR","","","bus","supratours"
"f4d212922a7d4f85b7fc7f8d2272aedf","تنغير سوبراتور","","TINERHIR","","","bus","supratours"
"f50f548683d744e6998fd3d0f72a46dd","تيسينت","","TISSINT","","","bus","supratours"
"8382ec6101224ec6aba4ecbfd8890a73","تينجداد سوبراتور","","TINJDAD","","","bus","supratours"
"1a65f03d5cf040d3bfc9fc4265011aeb","جرف الملحة سوبراتور","","JORF EL MELHA","","","bus","supratours"
"e4fe5d7f891b449aa50dcc1c1e9f2441","خنيفرة سوبراتور","","KHENIFRA","","","bus","supratours"
"3b6e1736a6b44d7d9ec22c7c6df391c8","زاكورة سوبراتور","","ZAGORA","","","bus","supratours"
"bd5acdf203fa4dad9c85e09f8f768c09","زاوية الشيخ سوبراتور","","ZAOUIAT CHEHCH","","","bus","supratours"
"5882dbf8dd54430d8514e8fb47f3efa2","شفشاون سوبراتور","","CHEFCHAOUEN","","","bus","supratours"
"71ed436d35e84c70a2d8f77e49ffc0b7","طاطا","","TATA","","","bus","supratours"
"cac099655b07445e8166be3ef16d243c","طرفاية سوبراتور","","TARFAYA","","","bus","supratours"
"cf327a6a0e27459fa88987e689abf99a","طنطان الميناء سوبراتور","","TAN TAN PORT","","","bus","supratours"
"1bfa234c7e6d498493f876aad5d383ce","طنطان سوبراتور","","TAN TAN","","","bus","supratours"
"204f3849c5c444a480b55fddf094ada0","عين الدفالي سوبراتور","","AIN DEFALI","","","bus","supratours"
"fa1e949f7cc24810adabd4b1646ae55c","فم ازكيد","","FOUM ZGUID","","","bus","supratours"
"d63d22e692844ac1962ffb9b96332bb5","قلعة السراغنة سوبراتور","","KELAA DES SRAGHNAS","","","bus","supratours"
"2aaceb468a9845eba280a28bd3e4fbe8","قلعة مكونة سوبراتور","","ELKELAA MGOUNA","","","bus","supratours"
"67af14b1e1c4478abf713e69a7649375","كاركارات سوبراتور","","GARGARATE","","","bus","supratours"
